numeric,character
1-2,kerran-kaksi
1,yksi
1,yhdessä
1,yhdestä
1,ensimmäinen
1,ensimmainen
2,kahteen
2,kahdessa
2,kahdesta
2,kaksi
2,toinen
3,kolmeen
3,kolmessa
3,kolmesta
3,kolme
3,kolmas
4,neljään
4,neljässä
4,neljästä
4,neljäs
4,neljä
4,neljaan
4,neljassa
4,neljasta
4,neljas
4,nelja
5,viiteen
5,viidessä
5,viidestä
5,viidesta
5,viidessa
5,viides
5,viisi
6,kuuteen
6,kuudessa
6,kuudesta
6,kuudes
6,kuusi
7,seitsemään
7,seitsemässä
7,seitsemästä
7,seitsemasta
7,seitsemäs
7,seitsemän
7,seitsemaan
7,seitsemassa
7,seitsemas
7,seitseman
8,kahdeksaan
8,kahdeksan
8,kahdeksassa
8,kahdeksasta
8,kahdeksas
9,yhdeksään
9,yhdeksäs
9,yhdeksän
9,yhdeksässä
9,yhdeksästä
9,yhdeksasta
9,yhdeksan
9,yhdeksaan
9,yhdeksas
9,yhdeksassa
9,yhdeksan
10,kymmeneen
10,kymmenen
10,kymmenessa
10,kymmenessä
10,kymmenesta
10,kymmenestä
10,kymmenes
11,yksitoista
12,kaksitoista
13,kolmetoista
14,neljätoista
14,neljatoista
15,viisitoista
16,kuusitoista
17,seitsemäntoista
17,seitsemantoista
18,kahdeksantoista
19,yhdeksäntoista
19,yhdeksantoista
20,kaksikymmentä
20,kaksikymmenta
24,kaksikymmentäneljä
24,kaksikymmentanelja
26,kaksikymmentäkuusi
26,kaksikymmentakuusi
52,viisikymmentäkaksi
52,viisikymmentakaksi
100,sata
1000,tuhat
